ID,Name,Course,Grade
ID,Name,Course,Grade
Student [studentID=89, studentName=Alison Murray, course=APMTH 134, grade=93]
Student [studentID=59, studentName=Amber-Rose Austin, course=APMTH 129, grade=93]
Student [studentID=68, studentName=Aran Rice, course=APMTH 131, grade=89]
Student [studentID=44, studentName=Brandan Mcbride, course=APMTH 127, grade=89]
Student [studentID=32, studentName=Veronica Dodd, course=APMTH 125, grade=88]
Student [studentID=47, studentName=Abbi Perkins, course=APMTH 127, grade=84]
Student [studentID=92, studentName=Safa Carrillo, course=APMTH 135, grade=84]
Student [studentID=98, studentName=Milo Whittington, course=APMTH 136, grade=81]
Student [studentID=65, studentName=Jemma Shannon, course=APMTH 130, grade=81]
Student [studentID=56, studentName=Amanda Mathis, course=APMTH 129, grade=80]
Student [studentID=26, studentName=Sara Stacey, course=APMTH 124, grade=80]
Student [studentID=77, studentName=Landon Fields, course=APMTH 132, grade=75]
Student [studentID=83, studentName=Ffion Jones, course=APMTH 133, grade=75]
Student [studentID=86, studentName=Loretta Truong, course=APMTH 134, grade=74]
Student [studentID=20, studentName=Howard Goldsmith, course=APMTH 123, grade=74]
Student [studentID=14, studentName=Leia Browne, course=APMTH 122, grade=73]
Student [studentID=80, studentName=Myra Bryant, course=APMTH 133, grade=73]
Student [studentID=95, studentName=Desiree Rivers, course=APMTH 135, grade=72]
Student [studentID=74, studentName=Randall Deacon, course=APMTH 132, grade=72]
Student [studentID=53, studentName=Carwyn Decker, course=APMTH 128, grade=71]
Student [studentID=11, studentName=Monty Bloom, course=APMTH 121, grade=71]
Student [studentID=8, studentName=Penelope Brett, course=APMTH 121, grade=69]
Student [studentID=71, studentName=Johnnie Murillo, course=APMTH 131, grade=69]
Student [studentID=29, studentName=Hana Larson, course=APMTH 124, grade=67]
Student [studentID=50, studentName=Husnain Hilton, course=APMTH 128, grade=64]
Student [studentID=41, studentName=Corban Dorsey, course=APMTH 126, grade=64]
Student [studentID=35, studentName=Rida Hanson, course=APMTH 125, grade=63]
Student [studentID=38, studentName=Aine Bates, course=APMTH 126, grade=62]
Student [studentID=23, studentName=Flynn Morton, course=APMTH 123, grade=62]
Student [studentID=5, studentName=Emily Barber, course=APMTH 120, grade=61]
Student [studentID=62, studentName=Avneet Melendez, course=APMTH 130, grade=60]
Student [studentID=17, studentName=Eisa Grainger, course=APMTH 122, grade=59]
Student [studentID=2, studentName=Tazmin Morse, course=APMTH 120, grade=51]
